drug_idx,drug_name,x,y,predicted_target_class
400,doxepin,3.4988697,0.29247332,human_cell
401,doxercalciferol,-1.1823792,-0.06798604,virus
402,doxorubicin,5.3170557,-0.12491518,human_cell
403,doxycycline,2.2645218,-0.21663505,virus
404,dronedarone,-1.5845435,-0.08026874,fungus
405,droperidol,-1.3320601,0.1011816,bacteria
406,drospirenone,-1.8680043,0.0557411,fungus
407,duloxetine,3.0676076,-0.17715877,human_cell
408,dutasteride,0.3651793,0.17765856,human_cell
409,dyphylline,-1.8291316,0.052549988,bacteria
410,eaca,-1.415621,-0.021921024,bacteria
411,ecallantide,-2.3264022,0.022394791,fungus
412,echothiophate,-2.0994124,0.047771603,fungus
413,econazole,-2.6081963,0.017008275,fungus
414,edrophonium,-1.1452312,0.14783734,bacteria
415,edta,-0.036774874,0.184489,bacteria
416,efavirenz,1.9253995,-0.027174234,human_cell
417,eicosapentaenoic,-2.5999784,0.11883806,fungus
418,eletriptan,1.308511,-0.21480298,virus
419,eliglustat,-2.191729,0.010100514,fungus
420,eltrombopag,-1.6550841,-0.06434223,fungus
421,elvitegravir,-2.0829196,-0.03848271,fungus
422,emedastine,-1.3397806,-0.06696251,virus
423,empagliflozin,-0.38153672,0.14832872,human_cell
424,emtricitabine,0.34305263,-0.084279984,human_cell
425,enflurane,-1.6937807,0.13916655,bacteria
426,enfuvirtide,0.39470553,-0.14850661,human_cell
427,entacapone,0.8892977,-0.1591306,virus
428,entecavir,-0.48323822,0.15046307,bacteria
429,ephedrine,-0.8752816,0.029505894,bacteria
430,epinastine,-1.9310473,0.024603114,bacteria
431,epinephrine,0.6608331,-0.037116095,human_cell
432,epitopic,0.30231977,0.09791794,human_cell
433,eplerenone,-0.15371299,-0.036515415,human_cell
434,eprosartan,-0.09851098,-0.20249411,virus
435,eptifibatide,-0.6682663,0.014289454,bacteria
436,ergonovine,-1.1215749,0.21796809,bacteria
437,ergotamine,-1.6309707,0.06452318,bacteria
438,eribulin,-0.20102,-0.21081835,virus
439,erlotinib,0.44388604,-0.15726134,virus
440,ertapenem,4.673727,0.10731629,human_cell
441,erythromycin,0.16533875,0.35150218,bacteria
442,eslicarbazepine,1.8622515,0.05648209,human_cell
443,esmolol,-0.0055577755,-0.07413712,virus
444,esomeprazole,1.0527318,-0.12520137,human_cell
445,estazolam,0.4133036,0.04246886,human_cell
446,estradiol,5.482358,0.11326444,human_cell
447,estramustine,-0.8647871,-0.037989408,bacteria
448,estriol,-0.6080301,0.5652874,bacteria
449,estrofem,-1.0055392,0.017401055,bacteria
450,estrone,-0.5922575,0.013174206,bacteria
451,ethacrynic,-1.6900835,0.0005534589,fungus
452,ethambutol,-0.93218446,-0.054533616,virus
453,ethionamide,-1.7013524,-0.0051195025,bacteria
454,ethosuximide,-0.8430233,-0.10444835,virus
455,ethotoin,-1.8253782,0.05194357,bacteria
456,etidronate,0.33855748,0.1696362,bacteria
457,etodolac,0.42806268,-0.14967874,virus
458,etomidate,-1.3046384,0.22503366,bacteria
459,etoposide,0.5630367,-0.11737904,virus
460,etoricoxib,2.4610274,-0.21531966,human_cell
461,etravirine,-0.027676582,-0.14910668,virus
462,everolimus,7.2474318,0.1531358,human_cell
463,exemestane,-0.03099823,-0.08738378,human_cell
464,exenatide,-0.27974486,-0.08885515,virus
465,ezetimibe,0.47429824,-0.20780915,virus
466,famciclovir,-0.9512603,-0.1494048,virus
467,famotidine,0.056916952,-0.047286108,human_cell
468,famp,0.35271144,-0.1530467,virus
469,fdurd,-0.7622261,-0.0074632913,bacteria
470,fe(iii,1.079046,-0.025861949,human_cell
471,febuxostat,1.9880688,-0.14585954,human_cell
472,felbamate,2.4771612,0.1921249,human_cell
473,felodipine,-0.14977431,0.06622112,human_cell
474,fenofibrate,1.1673896,-0.14533454,human_cell
475,fenofibric,-1.58743,-0.10166401,fungus
476,fenoldopam,-0.944123,-0.22432655,virus
477,fenoprofen,-0.5402467,-0.062263846,virus
478,fentanyl,5.486743,0.016747266,human_cell
479,ferumoxytol,0.2091639,-0.0814935,virus
480,fesoterodine,-0.55718803,-0.055359498,virus
481,fexofenadine,-0.9988477,-0.062395528,virus
482,fidaxomicin,-1.8461063,-0.04843992,fungus
483,finasteride,-1.0457752,0.12057969,bacteria
